"row","ID","Avg.Levenshtein","Score","LS_p1","LS_p2"
"1",1,0.759291521486643,82,0.453333333333333,0.893483709273183
"2",2,14.2468176914779,103,0,16.1255189255189
"3",3,1.31639547555522,178,0.804810360777058,1.49994128009395
"4",4,2.2390002407608,142,2.54354354354354,2.13168498168498
"5",5,2.1301548739751,111,2.77142857142857,1.98052434456929
"6",6,0.949239713774598,104,0,1.13472333600642
"7",7,1.66720727504417,86,1.98484848484848,1.61569788967049
"8",8,4.85654261704682,119,3.64705882352941,5.34033613445378
"9",9,1.29830334942226,106,0.350877192982456,1.50521251002406
"10",10,9.6060785767235,71,8.73157894736842,9.94901960784314
"11",11,3.06162294081757,149,4.00534759358289,2.78260869565217
"12",12,11.0939363265306,125,15.4861538461538,9.94042465471037
"13",13,1.66887435902862,118,0.671957671957672,1.97902621722846
"14",14,2.95629351567733,109,3.77217741935484,2.61722488038277
"15",15,17.9831092436975,170,11.0320197044335,19.4127659574468
"16",16,6.33561877597786,123,4.37241379310345,6.96891070593735
"17",17,1.05462627207861,103,0,1.29317269076305
